Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/4/22,450,,,,,,,,
2/4/2022,1000,jio Mart bill,4700,maid salary,,,,,
3/4/2022,1980,milk bill march,4100,ontibettu expenses,,,,,
15/4/2022,390,,,,,,,,
16/4/22,360,,2300,Ac repair,,,,,
17/4/22,980,biryani,500,shravan,,,,,
18/4/22,1330,milk bill April,,,,,,,
19/04/2022,360,,,,,,,,
20/4/22,880,,400,car wash,,,,,
21/4/2022,2200,transport worker,3700,maid salary,,,,,
21/4/2022,,,2000,shravan for chair,,,,,
22/4/2022,1180,,,,,,,,
23/4/22,520,,,,,,,,
24/4/22,130,,,,,,,,
25/4/22,300,,,,,,,,","
26/04/2022,710,fish,,,,,,,
27/04/2022,180,,,,,,,,
28/4/2022,330,,,,,,,,
29/4/2022,540,fish,,,,,,,
30/4/2022,120,,,,,,,,
