Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
01/04/2021,1180,rice,,
02/04/2021,480,,4700,maid salary
03/04/2021,370,,10000,shravan advance
04/04/2021,780,,,
05/04/2021,630,,,
06/04/2021,350,,410,my medicine
7/4/2021,3220,milk bill,,
8/4/2021,460,,4000,shravan
9/4/2021,430,,,
,,,,
10/4/2021,590,,250,my vaccination
11/4/2021,700,,2650,Acqoguard amc
12/4/2021,300,,400,car wash
13/4/2021,430,,,
14/4/2021,550,,,
15/4/21,590,,,
16/4/2021,290,,,
17/4/21,510,,320,my medicine
18/4/2021,850,mutton,,
19/4/2021,470,,200,Amma vaccination
20/4/2021,330,,,
21/4/2021,330,,380,Amma medicine
22/4/2021,520,,,
23/4/21,390,,820,gas
24/4/2021,520,,,
25/4/2021,630,,,
26/4/2021,570,,380,my medicine
,,,,
27/4/2021,490,,,
28/4/21,730,fish,,
29/4/21,520,,,
30/4/21,310,,,
