Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/8/21,830,chicken,660,my medicine,,,,,
2/8/2021,220,,4700,maid salary,,,,,
3/8/2021,350,,,,,,,,
4/8/2021,320,,,,,,,,
5/8/21,320,,,,,,,,
6/8/21,860,,,,,,,,
7/8/21,2690,milk bill,845,gas,,,,,
08/08/2021,750,fish,1125,Amma cream and medicine,,,,,
09/08/2021,620,,,,,,,,
10/08/2021,770,,,,,,,,
11/08/2021,860,,900,my dr.rao fees,,,,,","
12/08/2021,250,,4000,computer table and labour,,,,,
13/08/2021,300,,,,,,,,
14/8/2021,550,,,,,,,,
15/8/2021,790,,12000,shravan advance for sofa,,,,,
16/8/2021,370,,,,,,,,
,,,,,,,,,
17/8/2021,540,,,,,,,,
18/8/2021,250,,120,Amma medicine,,,,,
19/8/2021,280,,400,"
car wash",,,,,
20/8/2021,470,,,,,,,,
21/8/2021,380,,360,my medicine,,,,,
22/8/2021,1080,biryani,400,Amma massage,,,,,
23/8/2021,520,,,,,,,,
24/8/2021,880,fish,,,,,,,
25/8/2021,320,,,,,,,,
26/8/2021,360,,,,,,,,
27/8/2021,310,,,,,,,,
28/8/2021,390,,,,,,,,
29/8/2021,640,chicken,,,,,,,
30/8/21,290,,1240,my medicine,,,,,
31/8,390,,3000,shravan part payment for sofa,,,,,
,,,6000,Amma Udupi expense,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,6000,,,,,
