Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/8/23,440,,,
2/8/23,440,maid salary,2600,maid salary
3/8/23,2130,,,
4/8/23,1770,,,
5/8/23,110,,,
6/8/23,260,harish mother,500,harish mother
7/8/23,750,cable charge,380,cable charge
8/8/23,1410,,,
9/8/23,1110,,,
10/8/23,500,,,
11/8/23,nil,gss t shirt and bermuda,1700,gss t shirt and bermuda
12/8/23,nil,,,
13/8/23,580,,,
14/8/23,600,,,
15/8/23,340,nag pooja,500,nag pooja
16/8/23,330,,,
17/8/23,nil,gas,1160,gas
18/8/23,170,Dr fees and medicine for gcs,1470,Dr fees and medicine for gcs
19/8/23,410,,,
20/8/23,490,,,
21/8/23,330,,,
22/8/23,1940,,,
23/8/23,1010,,,
24/8/23,1590,,,
25/8/23,510,my medicine,380,my medicine
26/8/23,170,,,
27/8/23,520,,,
28/8/23,550,,,
29/8/23,nil,,,
30/8/23,390,,,
31/8/23,530,,,
