Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
6/11/2021,560,,4700,maid salary,,,,,
7/12/2021,400,,910,gas,,,,,
8/12/2021,1260,fish,,,,,,,
9/12/21,460,,,,,,,,
10/12/2021,320,,780,medicine gcs-380, sgs-400,,,,
11/12/21,1000,fish,,,,,,,
12/11/2021,420,,,,,,,,
13/12/2021,2520,milk bill,,,,,,,
14/12/2021,490,,4110,muddanna cloths,,,,,
15/12/21,970,mutton,200,Amma medicine,,,,,
16/12,470,,,,,,,,
17/12/21,930,chicken,,,,,,,
18/12/2021,720,,400,car wash,,,,,
19/12/2021,1250,biryani,2250,muddanna bus ticket,,,,,
20/12/2021,500,,320,Amma medicine,,,,,
21/12/2021,930,fish,400,my medicine,,,,,","
22/12/2021,460,,,,,,,,
23/12/2021,915,,,,,,,,
24/12/2021,540,,,,,,,,
25/12/2021,1650,christmas party,,,,,,,
26/12/2021,1370,party for friend,,,,,,,
27/12,235,,,,,,,,
28/12/2021,390,,910,gas,,,,,
29/12/2021,1030,fish,,,,,,,
30/12/2021,460,,400,my medicine,,,,,
31/12/2022,1210,new year party,,,,,,,
