Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/2/2022,380,,,,,,,,
2/2/2022,1000,fish,4700,maid salary,,,,,
3/2/22,340,,,,,,,,
4/2/2022,580,,,,,,,,
5/2/22,410,,,,,,,,
6/2/2022,650,chiken,,,,,,,
7/2/2022,520,,,,,,,,
8/2/2022,240,,,,,,,,
9/2/22,920,fish,,,,,,,
10/2,240,,2850,dr.nanjappa and tests,,,,,
11/2/22,110,,400,my medicine,,,,,
12/02/2022,590,,2000,Amma picnic expense,,,,,
13/02/2022,560,,,,,,,,
14/02/2022,3230,milk bill,,,,,,,
15/02/2022,190,,400,car wash,,,,,","
16/02/2022,790,fish,,,,,,,
17/02/2022,500,,720,my medicine for 20 days,,,,,
18/2/2022,590,,1160,sweets for ontibettu,,,,,
18/2/2022,,,1000,Babu mama,,,,,
18/2/2022,,,500,nere child,,,,,
18/2/2022,,,5000,mis expenses at ontibettu ,,,,,
