Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/2/23,630,,,
2/2/23,330,,4000,staff salary
03/02/23,3990,milk bill,,
4/2/23,1080,oil,,
5/2/23,660,,380,cable bill
6/2/23,710,,450,medicine for nirmala
7/2/23,420,,,
8/2/23,580,,,
9/2/23,300,,,
10/2/23,nil,,1500,palli temple
11/2/23,820,Krishna mutt exp,,
12/2/23,510,,,
13/2/23,590,,1110,gas
14/2/23,190,,,
15/2/23,270,,,
16/2/23,530,,,
17/2/23,nil,,810,shatavari pdr for amma
18/2/23,90,,550,my medicine
19/2/23,370,,,
20/2/23,420,,,
21/2/23,330,,,
22/2/23,390,,,
23/2/23,210,,,
24/2/23,790,seema for coconut etc,860,Belle expense
25/2/23,140,,3250,spects for me
26/2/23,440,,,
27/2/23,430,,2000,phone battery for me
28/2/23,860,Seema for veg etc,,
