Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
01/01/2021,660,,,
02/01/2021,560,,3500,maid salary
03/01/2021,580,,,
04/01/2021,330,,280,my medicine
05/01/2021,240,,500,Arun shravan
06/01/2021,930,fish,,
07/01/2021,3310,milk bill,500,shravan for chowrangi
08/01/2021,450,,,
09/01/2021,380,,,
10/01/2021,600,,1000,Amma for doctor
11/01/2021,350,,,
12/01/2021,200,,290,Amma medicine
13/1/2021,830,fish,,
14/1/2021,300,,300,safety door bulb
15/1/2021,380,,340,my medicine
16/1/2021,980,mutton,500,Amma for doctor
17/1/2021,320,,400,car wash
18/1/2021,340,,,
19/1/2021,330,,,
20/1/2021,350,,,
21/1/2021,310,,,
22/1/2021,680,,,
23/1/2021,460,,,
24/1/2021,670,,,
25/1/2021,190,,,
26/1/2021,470,,430,my medicine
27/1/2021,1510,fish,650,plumber & material
28/1/2021,330,,700,gas
29/1/2021,1130,rice,,
30/1/2021,330,,,
31/1/2021,380,,,
