Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/1/23,nil,,380,cable charge
02/01/2023,2730,milk bill,,
03/01/2023,190,,,
04/01/2023,160,,4000,staff salary
05/01/2023,380,,,
06/01/2023,270,,,
7/1/2023,570,,,
8/1/2023,350,,400,donation for temple
9/1/2023,150,,,
10/1/2023,280,,,
11/1/2023,650,,,
12/1/2023,120,,350,doctor fees and medicine for me
13/1/2023,300,,1240,bailur Pooja material
14/1/2023,150,,1000,bailur expense
15/1/2023,1020,chicken,,
16/1/2023,180,,,
17/1/2023,170,,,
18/7/2023,840,,,
19/1/2023,660,oil,,
20/1/2023,990,cocopit,,
21/1/2023,210,,3000,ontibettu Naga temple donation
22/1/2023,420,,340,my medicine
23/1/2023,730,,,
24/1/2023,310,,,
25/1/2023,750,sandel,1110,gas
26/1/2023,nil,,,
27/1/2023,180,,,
28/1/2023,220,,,
29/1/2023,1380,rice 20kg,2060,bailur fair expense
30/1/2023,170,,1000,donation to sangha
31/1/2023,450,,,
