Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/7/21,455,,,
2/7/2021,390,,4700,maid salary
,,,1000,Amma for doctor
3/7/2021,330,,5000,shravan  full glas payment
4/7/21,805,chiken,330,pain oil for me
5/7/21,330,,,
6/7/21,460,,,
07/07/2021,560,,620,Amma medicine
08/07/2021,330,,,
09/07/2021,440,,,
10/07/2021,480,,,
11/07/2021,1240,chicken and pays,,
12/07/2021,610,,910,"my medicine
"
24/7/2021,270,,840,gas
25/7/2021,630,,,
26/7/2021,370,,,
,,,,
27/7/2021,260,,,
28/7/2021,700,,,
29/7/2021,550,,,
30/7/2021,260,,,
31/7/2021,770,,5100,orthopedic doctor fees and medicine
