Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/7/23,370,,2600,maid salary
2/7/23,1290,mixer repair,380,cable charge
3/7/23,nil,,,
4/7/23,1100,oil etc,280,my medicine
5/7/23,1980,milk bill,,
6/7/23,290,,520,my medicine
7/7/23,600,fish etc,,
8/7/23,620,,,
9/7/23,nil,,,
10/7/23,790,fruits,,
11/7/23,nil,,,
12/7/23,nil,,,
13/7/23,280,,,
14/7/23,190,,2400,my medicine doctors fees
15/7/23,200,,,
16/7/23,580,chiken,,
17/7/23,1590,gas burner & veg at santhe,,
18/7/23,540,,500,Meera child
18/7/23,,,200,car puncture
19/7/23,830,fish,200,paid to yakshagana
20/7/23,690,oil,430,washing machine visiting vharge
21/7/23,620,,1160,gas
22/7/23,nil,,,
23/7/23,790,chicken,,
24/7/23,780,fruits,580,washing machine tap
25/7/23,4350,grocery items fm nursery,1000,perdoor temple
26/7/23,,,480,amma medicine
27/7/23,,,4400,washing machine repair
28/7/23,630,,540,umbrella and chapel for amma
29/7/23,250,,,
30/7/23,1050,chicken,,
31/7/23,4370,grocery items fm manipal,510,medicine for me
