Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/7/2022,2980,milk bill,,,,,,,
2/7/2022,nil,,4000,"nirmala, Seema, suma",,,,,
3/7/2022,490,,,,,,,,
4/7/22,620,,,,,,,,
5/7/2022,680,chiken etc,380,cable charge,,,,,
6/7/22,1020,grocery,,,,,,,
7/7/2022,520,,470,my medicine,,,,,
8/7/2022,740,,,,,,,,
9/7/2022,590,,1110,gas,,,,,
10/7/22,390,,180,tickets to bandekar,,,,,
10/7/22,380,,,,,,,,
12/7/22,,,1500,presentation for diwakar prabhu,,,,,
13/07/2022,340,,,,,,,,
14/07/2022,640,,,,,,,,
15/07/2022,400,,3500,NOC for car and scoter,,,,,
16/07/2022,670,fish,290,my medicine,,,,,","
17/07/2022,430,,,,,,,,
18/07/2022,560,,,,,,,,
19/7/2022,600,,,,,,,,
20/7/2022,800,fish,,,,,,,
21/7/2022,390,,,,,,,,
21/7/2022,500,,,,,,,,
23/7/2022,1270,2 bedsheets,1110,gas,,,,,
24/7/2022,230,,,,,,,,
25/7/2022,1180,Seema for grocery,100,my blood test,,,,,
26/7/2022,910,coconut oil,,,,,,,
26/7/2022,2550,milkman advance,,,,,,,
26/7/2022,230,,510,my medicine,,,,,
26/7/2022,350,,,,,,,,
26/7/2022,230,,,,,,,,
26/7/2022,790,chiken,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,.,,,,,,,
