Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/6/21,390,,2750,"medicine for me.  1300 dr.rao fees, 800 xray"
2/6/2021,370,,4930,"4700 maid salary, 230 maid leave payment has"
3/6/2021,380,,,
4/6/2021,360,,,
5/6/21,350,,,
6/6/21,550,,820,"my medicine for ,20 days"
7/6/21,390,,,
08/06/2021,570,,,
09/06/2021,530,,,
10/06/2021,420,,2290,orthopedician fees and medicine for both Amma and me
11/06/2021,680,,,
12/06/2021,450,,,
13/06/2021,1165,mutton,,
14/6/2021,770,,400,car eash
15/6/2021,465,,,
16/6/2021,930,fish,270,Amma medicine
,,,,
17/6/2021,400,,820,gas
18/6/2021,480,,,
19/6/2021,280,,,
20/6/2021,930,fish,,
21/6/2021,290,,,
22/6/2021,520,,,
23/6/2021,790,chicken,300,Amma birthday
24/6/2021,560,,4000,shravan for hall glass
25/6/2021,480,,2000,shravan advance for mirror
26/6/2021,400,,1030,"my medicine for ,20 days"
27/6/2021,620,,,
28/6/2021,350,,6000,shravan advance for mirror
29/6/2021,380,,,
30/6/21,930,fish,,
