Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/6/2022,1160,chiken etc,,,,,,,
2/6/2022,470,,500,sgs for bailur,,,,,
3/6/2022,,,4000,nirmala 2000 seems1000 sgs 1000,,,,,
4/6/2022,670,,,,,,,,
5/6/2022,590,,,,,,,,
6/6/2022,2350,fridge repair,1060,gas,,,,,
7/6/2022,540,,,,,,,,
8/6/2022,350,,,,,,,,
9/6/2022,600,,470,kadiyali temple exp,,,,,
10/6/2022,230,,,,,,,,
11/6/2022,,,,,,,,,
12/6/2022,390,,500,devadiga Sangha membership,,,,,
13/06/2022,500,Seema for santhe,350,kallianpur exp,,,,,
14/06/2022,130,,,,,,,,
15/06/2022,440,,560,my medicine,,,,,
16/06/2022,210,,,,,,,,","
17/06/2022,390,,600,driver to udyavar,,,,,
18/06/2022,400,,,,,,,,
19/6/2022,,,920,Belle expense,,,,,
20/5/2022,1210,oil etc,150,medicine,,,,,
21/6/2022,220,,,,,,,,
22/6/2022,730,fish,,,,,,,
23/6/2022,570,,330,amma medicine,,,,,
24/6/2022,290,,,,,,,,
25/6/2022,540,chiken,,,,,,,
26/6/2022,480,,1700,spectacles for me,,,,,
27/6/2022,,,560,medicine for me,,,,,
28/6/2022,540,,290,medicine for amma,,,,,
29/6/2022,270,,,,,,,,
30/6/2022,890,chiken,,,,,,,
