Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/6/23,600,water tank,,
2/6/23,3510,milk bill,,
3/6/23,nil,,380,cable charge
4/6/23,740,chicken etc,,
5/6/23,570,Monday market,,
6/6/23,,,1200,party for raju
7/6/23,150,,4000,staff salary
8/6/23,630,chicken,,
9/6/23,440,,300,my medicine
10/6/23,250,,,
11/6/23,,,,
12/6/23,840,oil etc,,
13/6/23,210,,,
14/6/23,360,,,
15/6/23,90,,,
16/6/23,300,fruits,,
17/6/23,360,chicken,,
18/6/23,220,,,
19/6/23,,,1270,ortho doctor fees medicine
20/6/23,nil,,1000,umesh home gift
21/6/23,370,,1720,Doctor at KMC
22/6/23,150,,,
23/6/23,550,fruits,,
24/6/23,50,,240,medicine
25/6/23,1540,rice,1160,gas
26/6/23,nil,,,
27/6/23,320,,,
28/6/23,nil,,,
29/6/23,nil,,,
30/6/23,150,,,
