Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
01/03/2021,430,,3450,maid salary
02/03/2021,310,,900,Dr. rao
03/03/2021,1070,fish,,
04/03/2021,200,,300,Amma medicine
05/03/2021,230,,,
06/03/2021,700,,7050,nucleus for blood test
07/03/2021,3090,milk bill,,
08/03/2021,565,,340,my medicine
,,,250,covid vaxination
09/03/2021,255,,,
10/03/2021,480,,,
11/03/2021,580,,,
12/03/0211,635,,,
13/3/2021,430,,,
14/3/2021,925,chicken,,
15/3/2021,380,,380,Amma medicine
,,,,
16/3/2021,300,,1200,Ac service
17/3/2021,1175,fish,400,car wash
18/3/2021,770,,380,my medicine
19/3/2021,360,,,
20/3/2021,410,,,
21/3/21,1590,rice,,
22/3/2021,465,,,
23/3/2021,300,,1600,dr.rao fees for me and amma
24/3/2021,840,,420,Amma medicine
25/3/2021,380,,,
26/3/2021,410,,830,gas
27/3/2021,340,,250,a/c mechanic
28/3/2021,3370,dry fruitts,525,my medicine
29/3/2021,320,,,
30/3/2021,290,,4500,electrical charge & material for AC
,,,890,dr.nanjappa fees & medicine
31/3/2021,720,,1100,Shravan towards ac fitting
,,,3500,a/c fitting charges
