Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/5/2021,300,,,
2/5/2021,690,,4700,maid salary
3/5/2021,320,,,
4/5/2021,100,,,
5/5/21,470,,900,acupuncture treatment
6/5/21,3010,milk bill,400,acupuncture treatment
7/5/21,940,15 coconut,400,acupuncture treatment
,,,310,my medicine
08/05/2021,470,,400,acupuncture treatment
09/05/2021,1200,mutton,,
10/05/2021,360,,,
11/05/2021,430,,,
12/05/2021,1100,fish,,
13/5/2021,340,,,
14/5/2021,720,,,
15/5/2021,1650,vignaharta bill,,
,,,,
16/5/2021,890,chicken,,
17/5/2021,250,,660,my medicine
,,,400,car wash
18/5/2021,460,,,
19/5/2021,230,,300,amma medicine
20/5/2021,450,,,
21/5/2021,730,,,
22/5/2021,680,,820,gas
23/5/2021,620,,200,mixer repair
24/5/2021,450,,,
25/5/2021,310,,,
26/5/2021,1000,fish,,
27/5/2021,1030,biryani,,
28/5/21,370,,420,amma medicine
29/5/2021,430,,,
30/5/2021,970,chicken,,
31/5,270,,,
