Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/5/2022,650,,,,,,,,
2/5/2022,220,,,,,,,,
5/5/2022,210,,,,,,,,
6/5/22,,,4000,taxi to mangalore,,,,,
7/5/2022,150,,,,,,,,
8/5/2022,1050,,,,,,,,
9/5/2022,790,,,,,,,,
10/5/22,310,,,,,,,,
11/5,520,,,,,,,,
12/5/22,1270,Seema 1000,,,,,,,
13/05/2022,,,1000,Harish home,,,,,
14/05/2022,80,,740,my medicine,,,,,
15/05/2022,810,,,,,,,,
16/05/2022,110,,1000,bailur expense,,,,,","
18/05/2022,1040,,,,,,,,
19/5/2022,500,seema,5000,bailur exp.,,,,,
21/5/2022,120,,8000,bailur exp,,,,,
22/5,750,chiken,,,,,,,
23/5/2022,220,,490,my medicine,,,,,
24/5/2022,,,3320,bailur exp.,,,,,
25/5/2022,90,,,,,,,,
26/5/2022,500,,2450,bailur exp.,,,,,
27/5,,,600,driver for suratkal,,,,,
28/5,680,,,,,,,,
29/5,300,,5000,babanna 5000,,,,,
30/5,370,,,,,,,,
