Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/5/23,680,fruits,,
2/5/23,440,,,
3/523,470,,,
04/05/2023,2400,A/c gas & remote,,
05/05/2023,2640,milk bill,500,belli attige
06/05/2023,250,,160,my medicine
7/5/23,380,,4000,staff salary
08/05/2023,100,,2100,donation for kajarguttu temple
09/05/2023,950,water tank,380,cable charge
10/05/2023,720,ice cream for guest,,
11/5/23,1050,coconut oil etc,,
12/05/2023,380,,,
13/05/2023,200,,,
14/05/2023,nil,,700,katpady naga donation
15/05/2023,680,,,
16/05/2023,nil,,,
17/05/2023,520,,,
19/5/2023,nil,,1350,rice donation for temple
20/5/2023,480,,,
22/5/2023,250,,,
23/5/2023,370,,1160,gas
24/5/2023,590,,710,my medicine
25/5/2023,1040,water rank,,
26/5/2023,430,,,
27/5/2023,940,cake etc.,1000,driver umesh
28/5/2023,660,chicken etc.,,
29/5/2023,350,,,
30/5/23,nil,,800,Dr. rao fees
31/5/2023,650,Bell etc,390,my medicine
