Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/11/2021,570,,7400,salary & bonus for maids,,,,,
2/11/2021,370,,,,,,,,
3/11/2021,780,chicken,500,diwali for sweepers,,,,,
4/11/2021,990,diwali,,,,,,,
5/11/2021,380,,1950,sweets & diwali baksish for watchmen,,,,,
6/11/2021,350,,380,Amma medicine,,,,,
7/11/2021,1870,diwali dinner,,,,,,,
8/11/2021,480,,,,,,,,
9/11/2021,480,,430,my medicine,,,,,
10/11/2021,430,,250,shravan diwali,,,,,
11/11/2021,3395,milk bill,,,,,,,
12/11/2021,600,,,,,,,,
13/11/2021,490,,,,,,,,
14/11/2021,930,chicken,500,car wash,,,,,
15/11/2021,560,,1900,easy chair,,,,,
16/11/2021,345,,,,,,,,","
17/11/2021,750,fish,540,amma face cream,,,,,
18/11/2021,540,,,,,,,,
19/11/2021,440,,830,my medicine,,,,,
20/11/2021,580,,,,,,,,
21/11/2021,610,,,,,,,,
22/11/2021,330,,,,,,,,
23/11/2021,810,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,6000,,,,,
