Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/11/23,2780,milk bill,,
2/11/23,1560,fish,4000,staff salary
3/11/23,430,,,
4/11/23,550,,,
5/11/23,110,,380,cable charge
6/11/23,890,,,
7/11/23,1150,fruits & veg santhe,,
8/11/23,560,,400,my medicine
9/11/23,170,,,
10/11/23,510,,,
11/11/23,170,,,
12/11/23,270,,,
13/11/23,170,,,
14/11/23,830,oil,,
15/11/23,930,mutton,1110,gas
16/11/23,710,rice,500,Amma for bailur
17/11/23,540,,,
18/11/23,610,,,
19/11/23,1240,chicken and fish,,
21/11/23,690,fruits,,
22/11/23,450,,,
24/11/23,290,,,
25/11/23,860,Seema grocery,,
26/11/23,530,,,
27/11/23,240,,,
28/11/23,580,,,
29/11/23,570,,1500,petrol and driver for suda temple
30/11/23,890,oil,2600,perfume
