Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks,,,,,
1/10/2021,360,,,,,,,,
2/10/2021,500,,4700,maid salary,,,,,
3/10/2021,1095,fish,,,,,,,
4/10/21,490,,5000,painter,,,,,
5/10/2021,400,,,,,,,,
6/10/21,1055,fish,,,,,,,
7/10/2021,830,,180,my medicine,,,,,
8/10/2021,3350,milk bill,,,,,,,
9/10/2021,250,,360,my medicine,,,,,
10/10/21,670,,450,cooker repair,,,,,
11/10/21,440,,1450,mirror,,,,,
12/10/21,400,,,,,,,,
13/10/2021,610,,,,,,,,
14/10/2021,450,,,,,,,,
15/10/2021,1495,dussera expense,,,,,,,
16/10/2021,485,,,,,,,,","
17/10/2021,1280,"fish
",,,,,,,
18/10/2021,465,,,,,,,,
19/10/2021,530,,,,,,,,
20/10/2021,550,,2500,shravan balance paymeny,,,,,
21/10/2021,480,,360,my medicine,,,,,
22/10,590,,,,,,,,
23/10/2021,330,,,,,,,,
24/10/2021,470,,5500,spectles for me,,,,,
25/10/2021,365,",",600,Amma phone recharge,,,,,
26/10/2021,360,,,,,,,,
27/10/2021,490,,910,gas,,,,,
28/10/2021,390,,600,shravan for labour work,,,,,
29/10/2021,400,,,,,,,,
30/10/2021,430,,,,,,,,
31/10/2021,1490,biryani,,,,,,,
