Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
,,,,
03/09/2022,1780,diana store bill,3580,kantavara expense
04/09/2022,740,,2600,Raju party
05/09/2022,860,mixer repair etc,,
06/09/2022,250,,1110,gas
07/09/2022,930,"oil etc,",250,Amma medicine
08/09/2022,60,,1700,Mangalore trip driver and petrol
09/09/2022,710,,500,yakshagana troup
10/09/2022,170,,,
11/09/2022,610,,500,donation for babbuswamy
12/09/2022,830,fruits dal etc,,
13/09/2022,330,,,
14/09/2022,810,chiken,,
15/09/2022,320,,,
16/09/2022,1740,fish fruits etc,,
17/09/2022,310,,550,my medicine
,,,900,amma medicine
18/09/2022,400,,,
19/9/2022,370,,,
20/9/2022,1500,25kg rice,,
21/9/2022,4130,grinding stone etc,500,driver
22/9/2022,430,,2700,Acquagard amc
23/9/2022,610,chicken,,
24/9/2022,800,fish etc,2000,saree and dhoti for bailur
25/9/2022,340,,8000,bailur shed share
26/9/2022,1180,"Dasera flower n fruits etc,dasera",,
27/9/2022,410,,,
28/9/2022,250,,1110,gas
29/9/2022,1110,coconut oil etc,,
30/9/2022,650,fruits,,
