Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/9/21,875,chiken,,
2/9/2021,705,,4700,maid salary
3/9/2021,460,,895,gas
4/9/2021,450,,,
5/9/21,835,chicken,,
6/9/21,3130,milk bill,440,my medicine
7/9/21,270,,220,paint
08/09/2021,445,,,
09/09/2021,340,,5000,shravan for sofa payment
10/09/2021,1110,ganapati,,
11/09/2021,460,,290,my medicine
12/09/2021,410,,200,ganpati dakshina
13/09/2021,240,,300,bathroom pipe
14/9/2021,430,,6000,sofa full payment
15/9/2021,925,fish,,
16/9/2021,400,,2500,sofa cover
17/9/2021,460,,400,"car wash
"
18/9/2021,430,,240,tubelight
,,,,
18/9/2021,430,,,
19/9/2021,670,,300,wash basin tape repair
20/9/2021,260,,480,amma medicine
21/9/2021,500,,1190,medicine & tonic for both GCS and sgs
22/9/2021,890,fish,,
23/9/2021,350,,,
24/9/2021,345,,6000,kamlesh for leakage work
25/9/2021,450,,500,aquel tap repair
26/9/2021,1310,biryani,,
27/9/2021,220,,155,hardware
28/9/2021,360,,400,plumber
29/9/21,780,fish,3500,POP man
30/9,480,,900,gas
