Date,Grocery amount,Grocery remarks,50/50 amount,50/50 remarks
1/10/23,360,,,
2/10/23,,,4000,staff salary
3/10/23,270,,380,cable charge
4/10/23,410,,3900,kallianpur Puja exp
5/10/23,640,dasera exp,,
6/10/23,220,,500,amma for udyavara visit
7/10/23,740,,2930,Rto number change charge
8/10/23,2810,mik bill,,
9/10/23,410,,2660,Gk party and Belle expense
10/10/23,310,,,
11/10/23,1200,"fish chicken etc
",,
12/10/23,200,,1140,pandurang  & family lunch exp.
13/10/23,220,,,
14/10/23,170,,,
15/10/23,280,,,
16/10/23,280,,,
17/10/23,560,,,
18/10/23,1300,Seema grocery etc.,440,my medicine
18/10/23,,,500,amma for bailur
19/10/23,330,,,
20/10/23,410,,1110,gas
21/10/23,420,,,
22/10/23,1680,diwali puja expense,,
23/10/23,350,,,
24/10/23,480,,,
25/10/23,340,,,
26/10/23,1360,diwali party,,
27/10/23,670,,,
28/10/23,1280,oil etc,,
29/10/23,330,,330,Amma medicine
30/10/23,490,,1000,driver  for engagement
31/10/23,860,vegetable and friuts,,
31/10/23,830,water pipe 30 mtrs,,
