date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:15:06	196/196	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2031%20Dec%202023%2012:45:05%20GMT	http://localhost/robots.txt		(from )
18:15:09	50873/50873	---MC-	200	added ('OK')	text/html	date:Sun,%2031%20Dec%202023%2012:45:06%20GMT	http://localhost/blogs/iLatish/	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/index.html	(from )
18:15:10	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sun,%2031%20Dec%202023%2012:45:10%20GMT	https://gmpg.org/xfn/11	/home/latish/websites/httrack/latish-sherigar.com/gmpg.org/xfn/11.html	(from http://localhost/blogs/iLatish/)
18:15:10	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2031%20Dec%202023%2012:45:10%20GMT	http://localhost/blogs/iLatish/xmlrpc.php	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/xmlrpc.php	(from http://localhost/blogs/iLatish/)
18:15:11	110035/110035	---M--	200	added ('OK')	text/css	etag:%221add3-60dba34f3a417%22	http://localhost/blogs/iLatish/wp-includes/css/dist/block-library/style.min.css?ver=6.4.2	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-includes/css/dist/block-library/style.min1e39.css	(from http://localhost/blogs/iLatish/)
18:15:13	27148/27148	---M--	200	added ('OK')	text/css	etag:%226a0c-60dca05380256%22	http://localhost/blogs/iLatish/wp-content/themes/twentyfifteen/assets/fonts/noto-sans-plus-noto-serif-plus-inconsolata.css?ver=20230328	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-content/themes/twentyfifteen/assets/fonts/noto-sans-plus-noto-serif-plus-inconsolata6a62.css	(from http://localhost/blogs/iLatish/)
18:15:15	27520/27520	---M--	200	added ('OK')	text/css	etag:%226b80-60dca05388727%22	http://localhost/blogs/iLatish/wp-content/themes/twentyfifteen/genericons/genericons.css?ver=20201026	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-content/themes/twentyfifteen/genericons/genericons0cca.css	(from http://localhost/blogs/iLatish/)
18:15:17	724/724	---MC-	200	added ('OK')	application/rss+xml	etag:%2253294fd8f3f8de8e34a04c4c07b20d69%22	http://localhost/blogs/iLatish/comments/feed/	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/comments/feed/index.html	(from http://localhost/blogs/iLatish/)
18:15:17	99736/99736	---M--	200	added ('OK')	text/css	etag:%2218598-60dca0538a27f%22	http://localhost/blogs/iLatish/wp-content/themes/twentyfifteen/style.css?ver=20231107	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-content/themes/twentyfifteen/style2a09.css	(from http://localhost/blogs/iLatish/)
18:15:19	13874/13874	---M--	200	added ('OK')	text/css	etag:%223632-60dca05387b6f%22	http://localhost/blogs/iLatish/wp-content/themes/twentyfifteen/css/blocks.css?ver=20230623	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-content/themes/twentyfifteen/css/blocks19c9.css	(from http://localhost/blogs/iLatish/)
18:15:19	25800/25800	---MC-	200	added ('OK')	application/rss+xml	etag:%227ade71ac9b2e5a7265f80d501d2c9fab%22	http://localhost/blogs/iLatish/feed/	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/feed/index.html	(from http://localhost/blogs/iLatish/)
18:15:23	13577/13577	---M--	200	added ('OK')	text/javascript	etag:%223509-60dba34f5328a%22	http://localhost/blogs/iLatish/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost/blogs/iLatish/)
18:15:25	4474/4474	---M--	200	added ('OK')	text/javascript	etag:%22117a-60dca05388ef7%22	http://localhost/blogs/iLatish/wp-content/themes/twentyfifteen/js/functions.js?ver=20221101	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-content/themes/twentyfifteen/js/functions4705.js	(from http://localhost/blogs/iLatish/)
18:15:25	846/846	---MC-	200	added ('OK')	text/xml	date:Sun,%2031%20Dec%202023%2012:45:23%20GMT	http://localhost/blogs/iLatish/xmlrpc.php?rsd	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/xmlrpc0db0.php	(from http://localhost/blogs/iLatish/)
18:15:31	87553/87553	---M--	200	added ('OK')	text/javascript	etag:%2215601-60dba34f53672%22	http://localhost/blogs/iLatish/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost/blogs/iLatish/)
18:15:35	33744/33744	---MC-	200	added ('OK')	text/html	date:Sun,%2031%20Dec%202023%2012:45:25%20GMT	http://localhost/blogs/iLatish/solving-a-problem/	/home/latish/websites/httrack/latish-sherigar.com/localhost/blogs/iLatish/solving-a-problem/index.html	(from http://localhost/blogs/iLatish/)
